Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Zhongshan Hulang Lighting Electrical Co.,ltd",,"Guangdong, China ",4.8,34 reviews,≤2h,100.0%,180 orders,"US $1,400,000+",-1,,,21800,20000000,15,-1,180,Yes,8,"South America(20%), Southeast Asia(20%), Mid East(15%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",8,6
Shenzhen Fredlighting Technology Limited,,"Guangdong, China ",4.9,110 reviews,≤2h,99.1%,- orders,-1,-1,,,1800,1230000,4,-1,-1,Yes,4,"North America(26%), South America(16%), Northern Europe(16%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",10,6
"Zhongshan Lurong Lighting Co., Ltd",,"Guangdong, China ",-1,-1,≤3h,100.0%,- orders,-1,-1,,,2600,0,2,125000,10,Yes,1,Domestic Market(100%),,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",60,1
"Zhongshan Anhang Lighting Co., Ltd.",,"Guangdong, China ",4.8,28 reviews,≤3h,100.0%,- orders,-1,-1,,,8000,7700000,12,105000000,75,Yes,6,"North America(22%), Southeast Asia(18%), Mid East(18%)",,other|Confidential,"customized on demand, graphic processing, sample processing, light customization, graphic processing, customized on demand, sample processing, light customization",20,5
"Shenzhen Etenda Lighting Co., Ltd.",,"Guangdong, China ",4.6,76 reviews,≤2h,98.9%,333 orders,"US $680,000+",-1,,,2338,1780000,1,92000,24,Yes,1,"South America(50%), Southeast Asia(20%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",51,2
"Shenzhen Aike Ou Technology Co., Ltd.",,"Guangdong, China ",4.9,26 reviews,≤2h,95.4%,- orders,-1,-1,,,-1,-1,2,-1,7,Yes,1,"North America(30%), Western Europe(20%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",20,1
"Zhongshan Sunde Lighting Co., Ltd.",,"Guandong, China ",4.7,48 reviews,≤2h,100.0%,104 orders,"US $50,000+",-1,,,5550,3270000,5,1582000,87,Yes,5,"North America(45%), Eastern Europe(20%), Southeast Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",50,4
"Xiamen Konshine Lighting Electron Co., Ltd.",,"Fujian, China ",4.8,29 reviews,≤1h,93.5%,195 orders,"US $80,000+",-1,,,4739,3000000,6,1730000,75,Yes,4,"North America(39%), Southeast Asia(36%), South America(25%)",,-1,"light customization, sample processing, graphic processing, customized on demand",5,10
"Shenzhen Ameri Technology Co., Ltd.",,"Guangdong, China ",4.9,45 reviews,≤2h,100.0%,- orders,-1,-1,,,1160,-1,-1,-1,-1,Yes,1,"North America(70%), Western Europe(10%), Eastern Europe(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",3,2
"Shenzhen Star Technology Co., Ltd.",,"Guangdong, China ",4.7,68 reviews,≤2h,98.0%,192 orders,"US $120,000+",-1,,,2380,1800000,5,-1,32,Yes,9,"North America(60%), Western Europe(20%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",80,6
"Zhongshan Lingdian Technology Co., Ltd.",,"Guangdong, China ",-1,-1,≤1h,100.0%,- orders,-1,-1,,,5000,-1,5,-1,10,Yes,2,"Domestic Market(35%), North America(30%), Eastern Europe(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",60,2
"Shenzhen CL Lighting Technology Co., Ltd.",,"Guangdong, China ",4.5,34 reviews,≤3h,100.0%,150 orders,"US $250,000+",-1,,,9830,-1,20,-1,53,Yes,10,"North America(45%), Western Europe(25%), South America(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",30,25
"Guangdong Winwin Technology Co., Ltd.",,"Guangdong, China ",4.6,59 reviews,≤4h,99.0%,251 orders,"US $60,000+",-1,,,2500,-1,1,-1,17,Yes,4,"Domestic Market(35%), North America(25%), Eastern Europe(20%)",,"Retailer, Engineer, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",50,3
"Zhongshan Tenailiang Lighting Technology Co., Ltd.",,"Guangdong, China ",4.3,50 reviews,≤2h,99.3%,- orders,-1,-1,,,8000,4254000,5,2400000,30,Yes,2,"Domestic Market(70%), Southeast Asia(10%), Africa(7%)",,"Retailer, Engineer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand",130,8
"Shenzhen Etenda New Energy Technology Co., Ltd.",,"Guangdong, China ",4.8,19 reviews,≤3h,97.2%,- orders,-1,-1,,,2276,-1,1,91000,24,Yes,1,North America(100%),,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",80,1
