name,link
"Taizhou Bison Machinery Industry Co., Ltd.",https://bisoncompressor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600629159493
"Ningbo Vantar Plastic Co., Ltd.",https://vantarplastic.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600441601986
"Anshan Fenghui Continuous Caster Machine Manufacture Co., Ltd.",https://asccm.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62501453116
"Chongqing Jiayang Industrial Co., Ltd.",https://cqjialing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600865303159
"Shanghai Kmcable Group Co., Ltd.",https://kuanmincable.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600878394558
"Chongqing Jiayang Industrial Co., Ltd.",https://jiayangco.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600066202587
"Hebei Dagang Cable Co., Ltd.",https://dagangcable.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62065409470
"Xiamen Yongfengsheng Generator Group Co., Ltd",https://deutrogge.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=11000014395516
"Hangzhou Junchi New Energy Technology Co., Ltd.",https://junchipower.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600973346653
"Yueqing Yirui Electric Appliance Co., Ltd.",https://yrdq.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600229451421
"Sichuan Leton Industry Co., Ltd.",https://leton.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600608557823
"Fujian Gooall Power Technology Co., Ltd.",https://xinyutong-motor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=60347909047
"Wenzhou Mingdun Electric Co., Ltd.",https://wzmdbox.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=10000018871299
"Dongguan Yuanhai Wire And Cable Co., Ltd.",https://yaihai.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601173072264
"Chongqing Telijing Technology Co., Ltd.",https://telijin.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600872190402
Xelite Electronics Co. Ltd,https://xelitepower.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601233849251
