Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Dongguan Geshifeng Metal Products Co., Ltd.",https://gsf.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600446643881,"Guangdong, China ",4.5,87,"Pigeon Foot Rings, Bird Foot Rings, Bird Toys, Pigeon Accessories,",≤4h,1.0,448,280000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability","CE, RoHS",7000,1150000,16,-1,85,Yes,8,"Domestic Market(17%), North America(14%), Mid East(12%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",130,3
"Tianjin Laifu Pet Products Co., Ltd.",https://lifepet.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601132827713,"Tianjin, China ",5.0,6,"Main categories: Cat Food, Lyophilization, Cat Litter",≤3h,0.9229999999999999,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available",RoHS,60194,-1,4,-1,-1,Yes,2,Domestic Market(100%),"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",15,3
"Jiangxi Lanzhong Pharmaceutical Co., Ltd.",https://jxlanzhong.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601079820901,"Jiangxi, China ",4.8,10,"Main categories: Pet Shampoo, Pet Wipe, Pet Odor Remover, Pet Pads, Pet Toothpaste",≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available",-1,2437,-1,-1,-1,-1,Yes,2,"Domestic Market(45%), North America(15%), Western Europe(15%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",5,2
"Xiamen Once Environment-Friendly Materials Co., Ltd.",https://eco-clean.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600710260529,"Fujian, China ",4.7,16,"Main categories: Poop Bag, Shopping bag, Medical Water Soluble Bag, Freshness Protection Package Bags, Biodegradable Shopping Bag",≤4h,1.0,34,180000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",GRS,1128,1600000,30,88250000,46,Yes,1,"North America(15%), South America(12%), Central America(12%)","Retailer, Wholesaler, Brand business","light customization, sample processing, graphic processing, customized on demand",180,1
"Gaizhou Lihebo Pet Products Co., Ltd.",https://rehobothyk.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601113270958,"Liaoning, China ",5.0,1,"Main categories: Cat Scratch Board, Cat Diving Platform, Pet Bath Towel, Pet Fecal Disposal Bag",≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,1000,-1,4,-1,27,Yes,2,Domestic Market(100%),"Retailer, Wholesaler, Brand business, For private use, Manufacturer","customized on demand, graphic processing, sample processing",50,2
"Qingdao Myjian Foodstuff Co., Ltd.",https://myjian.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600133731601,"Shandong, China ",5.0,3,Main categories: Dog Food/Pet Treats/Dog Chews/Canned Food/Dog Biscuits/Dental Snacks,≤1h,1.0,11,370000,"Agile supply chain, Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","BSCI, BRC, IFS",8320,-1,5,2500,-1,Yes,5,"Western Europe(30%), Eastern Europe(15%), North America(10%)","Retailer, Wholesaler, Brand business, For private use","light customization, sample processing, graphic processing, customized on demand",-1,5
"ANHUI FISHERPET PRODUCTS CO.,LTD",https://fisherpet.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601053802739,"Anhui, China ",4.4,10,"Main categories: Dog Bed, Pet Mat, Cat Bed",≤3h,1.0,22,10000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,8238,-1,6,-1,79,Yes,8,"North America(40%), Western Europe(38%), Northern Europe(10%)",-1,"light customization, sample processing, graphic processing, customized on demand",100,3
"Everich And Tomic Housewares Co., Ltd.",https://tftmk3.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600881238800,"Zhejiang, China ",4.7,21,"Main categories: Water Bottle, Pet Products, Coffee Mug & Tumbler, Lunch Box, Vacuum Flask",≤6h,0.961,139,280000,"Minor customization, Design-based customization, Sample-based customization, Full customization, Private mold, One-stop procurement, Business procurement","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","BSCI, RCS, GRS",69357,48650000,16,-1,-1,Yes,59,"North America(54%), Southern Europe(9%), Eastern Europe(7%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",500,45
"Hunan Coowone Trading Co., Ltd.",https://coowone.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600700426696,"Hunan, China ",4.9,47,"Main categories: Pet Harness, Pet Leash, Dog Walking Bag, Pet Clothes, Pet Products",≤2h,0.991,231,270000,"Minor customization, Design-based customization, Sample-based customization, Full customization, International warehouses","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available",CE,2120,840000,2,-1,59,Yes,2,"North America(35%), Western Europe(30%), Oceania(20%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",1600,10
"Caoxian Wen Li Home Co., Ltd.",https://wlfurniture.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601126652503,"Shandong, China ",-1,-1,"Main categories: Pets Furniture, Living Room Furniture, Bedroom Furniture, Outdoor Furniture, Baby Furniture",≤2h,1.0,8,10000,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support, One-stop procurement","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","FSC, CE, RoHS",18500,-1,2,-1,55,Yes,4,"North America(30%), Eastern Europe(15%), Northern Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, graphic processing, sample processing",250,6
"Wenzhou Yichong Pet Products Co., Ltd.",https://wzyc.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600762712035,"Zhejiang, China ",4.8,23,Main categories: Pet Products,≤3h,1.0,94,30000,"Minor customization, Design-based customization","Raw-material traceability identification, QA/QC inspectors, On-site material inspection, Quality traceability",-1,2785,-1,-1,-1,-1,No,1,"Domestic Market(56%), North America(10%), Eastern Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer",-1,-1,1
"Shandong Everydog Pet Products Co., Ltd.",https://doglove.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600914191245,"Shandong, China ",4.9,13,Main categories: Pet Clothes,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,5800,-1,2,300000,56,Yes,10,"North America(40%), South America(20%), Southern Europe(20%)","Retailer, Wholesaler","sample processing, graphic processing, customized on demand",50,5
"Shenzhen Yuzhoushun Technology Co., Ltd.",https://yuzhoushun.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600763994626,"Guangdong, China ",4.9,71,"Main categories: Pet Cleaning & Grooming Products, Pet Bowls & Feeders, Pet Toys, Pet Collars & Leashes",≤2h,1.0,155,220000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,2100,-1,4,-1,30,Yes,4,"North America(30%), Eastern Europe(15%), Southeast Asia(15%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",50,2
